dia,fecha,cota_Ralco_msnm_0-20%,cota_Pangue_msnm_0-20%,cota_Ralco_msnm_20-40%,cota_Pangue_msnm_20-40%,cota_Ralco_msnm_40-60%,cota_Pangue_msnm_40-60%,cota_Ralco_msnm_60-80%,cota_Pangue_msnm_60-80%,cota_Ralco_msnm_80-100%,cota_Pangue_msnm_80-100%
35,04-Feb,715.2,507.0,715.14,507.0,715.04,507.089,715.06,507.349,714.96,507.431
36,05-Feb,715.17,507.0,715.14,507.0,715.04,507.104,715.06,507.367,714.96,507.428
37,06-Feb,715.15,507.0,715.14,507.0,715.04,507.119,715.06,507.385,714.96,507.425
38,07-Feb,715.12,507.0,715.11,507.0,715.04,507.134,715.06,507.404,714.96,507.422
39,08-Feb,715.09,507.0,715.08,507.0,715.04,507.145,715.06,507.41,714.96,507.411
40,09-Feb,715.06,507.0,715.05,507.0,715.04,507.155,715.06,507.417,714.96,507.399
41,10-Feb,715.03,507.0,715.02,507.0,715.04,507.165,715.06,507.423,714.96,507.387
42,11-Feb,715.01,507.0,714.99,507.12,715.04,507.175,715.06,507.429,714.96,507.375
43,12-Feb,714.98,507.0,714.96,507.0,715.04,507.185,715.06,507.436,714.96,507.363
44,13-Feb,714.95,507.0,714.93,507.0,715.04,507.195,715.06,507.442,714.96,507.351
45,14-Feb,714.93,507.0,714.9,507.0,715.04,507.205,715.06,507.449,714.96,507.339
46,15-Feb,714.92,507.0,714.86,507.0,715.04,507.209,715.06,507.44,714.96,507.327
47,16-Feb,714.9,507.112,714.83,507.0,715.04,507.245,715.06,507.431,714.96,507.314
48,17-Feb,714.87,507.0,714.8,507.0,715.04,507.216,715.06,507.422,714.96,507.302
49,18-Feb,714.82,507.0,714.78,507.0,715.04,507.22,715.06,507.413,714.96,507.3
50,19-Feb,714.78,507.0,714.75,507.0,715.04,507.223,715.06,507.404,714.96,507.305
51,20-Feb,714.73,507.0,714.7,507.0,715.04,507.227,715.06,507.404,714.96,507.31
52,21-Feb,714.69,507.157,714.65,507.0,715.04,507.231,715.06,507.417,714.96,507.315
53,22-Feb,714.62,507.0,714.6,507.0,715.04,507.226,715.06,507.417,714.96,507.32
54,23-Feb,714.55,507.0,714.55,507.0,715.04,507.222,715.06,507.417,714.96,507.325
55,24-Feb,714.46,507.0,714.5,507.0,715.04,507.217,715.06,507.418,714.96,507.33
56,25-Feb,714.36,507.0,714.45,507.0,715.04,507.213,715.06,507.418,714.96,507.335
57,26-Feb,714.26,507.0,714.4,507.0,715.04,507.208,715.06,507.418,714.93,507.501
58,27-Feb,714.13,507.0,714.35,507.0,715.04,507.203,715.06,507.418,714.93,507.513
59,28-Feb,714.0,507.0,714.3,507.0,715.04,507.216,715.03,507.564,714.93,507.525
60,01-Mar,713.89,507.0,714.25,507.0,715.04,507.206,715.03,507.534,714.93,507.519
61,02-Mar,713.77,507.0,714.2,507.0,715.04,507.2,715.03,507.504,714.93,507.512
62,03-Mar,713.65,507.0,714.12,507.225,715.04,507.194,715.03,507.474,714.93,507.506
63,04-Mar,713.52,507.877,714.06,507.779,715.04,507.6,715.03,507.632,714.93,507.669
64,05-Mar,713.39,507.0,713.99,507.0,715.04,507.182,715.03,507.412,714.93,507.493
65,06-Mar,713.25,507.0,713.92,507.0,715.04,507.175,715.01,507.472,714.93,507.486
66,07-Mar,713.13,507.0,713.85,507.0,715.04,507.168,715.01,507.441,714.93,507.48
67,08-Mar,712.98,507.0,713.78,507.0,715.04,507.149,715.01,507.403,714.93,507.472
68,09-Mar,712.82,507.0,713.72,507.0,715.04,507.129,715.01,507.365,714.93,507.463
69,10-Mar,712.68,507.0,713.65,507.0,715.04,507.11,715.01,507.326,714.93,507.455
70,11-Mar,712.54,507.0,713.58,507.0,715.04,507.09,715.01,507.287,714.93,507.449
71,12-Mar,712.37,507.0,713.51,507.0,715.03,507.105,715.01,507.247,714.93,507.458
72,13-Mar,712.18,507.0,713.44,507.0,715.03,507.085,715.0,507.294,714.93,507.468
73,14-Mar,711.98,507.0,713.38,507.0,715.03,507.082,715.0,507.254,714.93,507.477
74,15-Mar,711.79,507.0,713.33,507.0,715.03,507.08,715.0,507.231,714.93,507.502
75,16-Mar,711.61,507.0,713.27,507.0,715.02,507.087,714.98,507.28,714.92,507.516
76,17-Mar,711.42,507.0,713.21,507.0,715.02,507.071,714.98,507.227,714.92,507.488
77,18-Mar,711.24,507.0,713.15,507.0,715.02,507.09,714.94,507.386,714.91,507.525
78,19-Mar,711.06,507.0,713.1,507.0,715.02,507.075,714.94,507.333,714.91,507.506
79,20-Mar,710.89,507.0,713.04,507.0,715.02,507.059,714.94,507.28,714.91,507.487
80,21-Mar,710.71,507.0,712.98,507.0,714.99,507.163,714.93,507.294,714.9,507.531
81,22-Mar,710.53,507.0,712.92,507.0,714.99,507.148,714.93,507.25,714.9,507.512
82,23-Mar,710.36,507.0,712.87,507.0,714.99,507.133,714.91,507.318,714.9,507.496
83,24-Mar,710.19,507.0,712.81,507.0,714.99,507.11,714.89,507.396,714.87,507.56
84,25-Mar,710.03,507.0,712.75,507.0,714.99,507.087,714.89,507.365,714.87,507.51
85,26-Mar,709.88,507.0,712.69,507.0,714.99,507.064,714.88,507.397,714.87,507.466
86,27-Mar,709.72,507.0,712.61,507.0,714.99,507.041,714.88,507.366,714.87,507.447
87,28-Mar,709.56,507.0,712.55,507.0,714.99,507.017,714.85,507.5,714.87,507.451
88,29-Mar,709.4,507.0,712.49,507.0,714.98,507.047,714.84,507.536,714.86,507.532
89,30-Mar,709.25,507.0,712.43,507.0,714.98,507.024,714.84,507.505,714.86,507.542
90,31-Mar,709.09,507.005,712.38,507.029,714.98,507.0,714.83,507.563,714.86,507.553
91,01-Apr,708.93,507.013,712.32,507.025,714.98,507.0,714.83,507.558,714.86,507.546
92,02-Apr,708.77,507.02,712.26,507.021,714.98,507.0,714.83,507.534,714.86,507.539
93,03-Apr,708.61,507.028,712.18,507.017,714.98,507.0,714.83,507.502,714.86,507.533
94,04-Apr,708.43,507.035,712.1,507.013,714.98,507.0,714.82,507.524,714.86,507.538
